,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
1983,2016,134,1195,96,1192,65,N,0
1984,2016,134,1455,70,1435,50,N,0
1985,2016,135,1221,59,1380,55,N,0
1986,2016,135,1276,67,1409,62,N,0
1987,2016,136,1114,85,1345,83,N,2
1988,2016,136,1139,71,1403,61,N,0
1989,2016,136,1163,74,1160,67,N,0
1990,2016,136,1181,93,1423,85,N,0
1991,2016,136,1211,68,1371,52,N,0
1992,2016,136,1231,99,1151,74,N,0
1993,2016,136,1235,94,1233,81,N,0
1994,2016,136,1242,105,1122,79,N,0
1995,2016,136,1246,85,1392,57,N,0
1996,2016,136,1274,79,1138,72,N,0
1997,2016,136,1314,83,1195,67,N,0
1998,2016,136,1344,70,1425,69,N,0
1999,2016,136,1428,80,1201,69,N,0
2000,2016,136,1438,81,1214,45,N,0
2001,2016,136,1455,65,1112,55,N,0
2002,2016,136,1463,79,1124,75,N,0
2003,2016,137,1218,77,1143,66,N,0
2004,2016,137,1234,72,1396,70,N,1
2005,2016,137,1268,79,1355,74,N,0
2006,2016,137,1292,90,1277,81,N,0
2007,2016,137,1320,75,1400,72,N,0
2008,2016,137,1323,70,1276,63,N,0
2009,2016,137,1328,82,1167,68,N,0
2010,2016,137,1332,91,1221,52,N,0
2011,2016,137,1372,70,1452,56,N,0
2012,2016,137,1386,78,1153,76,N,0
2013,2016,137,1393,70,1173,51,N,0
2014,2016,137,1401,92,1453,65,N,0
2015,2016,137,1433,75,1333,67,N,0
2016,2016,137,1437,86,1421,56,N,0
2017,2016,137,1458,47,1338,43,N,0
2018,2016,137,1462,71,1451,53,N,0
2019,2016,138,1181,71,1463,64,N,0
2020,2016,138,1211,82,1428,59,N,0
2021,2016,138,1231,73,1246,67,N,0
2022,2016,138,1235,78,1114,61,N,0
2023,2016,138,1242,73,1163,61,N,0
2024,2016,138,1274,65,1455,57,N,0
2025,2016,138,1314,85,1344,66,N,0
2026,2016,138,1438,77,1139,69,N,0
2027,2016,139,1268,73,1218,60,N,0
2028,2016,139,1323,76,1372,75,N,0
2029,2016,139,1328,85,1433,81,N,0
2030,2016,139,1332,69,1386,64,N,0
2031,2016,139,1393,75,1292,50,N,0
2032,2016,139,1401,92,1320,88,N,2
2033,2016,139,1437,87,1234,68,N,0
2034,2016,139,1458,66,1462,63,N,0
2035,2016,143,1242,79,1268,63,N,0
2036,2016,143,1328,77,1401,63,N,0
2037,2016,143,1332,82,1181,68,N,0
2038,2016,143,1437,92,1274,69,N,0
2039,2016,144,1314,101,1231,86,N,0
2040,2016,144,1323,61,1458,56,N,0
2041,2016,144,1393,63,1211,60,N,0
2042,2016,144,1438,84,1235,71,N,0
2043,2016,145,1328,80,1332,68,N,0
2044,2016,145,1437,64,1242,59,N,0
2045,2016,146,1314,88,1323,74,N,0
2046,2016,146,1393,68,1438,62,N,0
2047,2016,152,1314,83,1393,66,N,0
2048,2016,152,1437,95,1328,51,N,0
2049,2016,154,1437,77,1314,74,N,0
