,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
847,2016,134,1195,96,1192,65,N,0,34,57,8,23,20,34,10,42,27,18,6,4,18,23,70,8,23,11,18,9,24,16,9,9,1,26
848,2016,134,1455,70,1435,50,N,0,22,59,7,19,19,25,9,34,12,7,5,2,22,16,53,3,19,15,26,9,29,9,12,1,5,23
849,2016,135,1221,59,1380,55,N,0,18,40,9,25,14,19,2,27,14,14,3,1,13,22,56,3,20,8,11,9,24,10,9,4,2,20
850,2016,135,1276,67,1409,62,N,0,24,59,6,25,13,16,12,26,10,8,5,6,14,25,56,3,15,9,15,10,26,10,11,5,6,15
851,2016,136,1114,85,1345,83,N,2,30,77,9,27,16,28,15,30,9,9,13,0,22,26,62,9,28,22,28,10,42,17,18,2,7,23
852,2016,136,1139,71,1403,61,N,0,25,51,9,17,12,16,8,26,14,14,10,2,14,25,54,7,18,4,9,6,22,14,14,8,4,16
853,2016,136,1163,74,1160,67,N,0,23,58,6,17,22,23,11,25,8,10,8,8,26,23,51,2,10,19,30,9,24,8,12,5,3,22
854,2016,136,1181,93,1423,85,N,0,29,54,4,15,31,43,12,28,11,10,4,8,18,30,68,11,26,14,19,13,21,10,9,5,3,33
855,2016,136,1211,68,1371,52,N,0,24,56,6,17,14,21,12,36,12,20,7,2,19,20,62,4,21,8,21,13,21,8,12,11,1,21
856,2016,136,1231,99,1151,74,N,0,37,57,10,16,15,19,8,22,23,12,10,5,16,28,59,3,17,15,18,9,15,9,15,7,2,19
857,2016,136,1235,94,1233,81,N,0,32,64,10,22,20,25,7,28,17,10,9,5,17,31,64,7,24,12,18,9,28,12,13,6,3,20
858,2016,136,1242,105,1122,79,N,0,39,70,6,16,21,27,14,27,23,10,8,9,27,25,61,4,15,25,37,15,22,6,12,8,0,23
859,2016,136,1246,85,1392,57,N,0,33,63,4,13,15,17,10,34,14,10,9,15,17,20,76,3,13,14,18,25,21,10,14,6,3,14
860,2016,136,1274,79,1138,72,N,0,24,54,5,15,26,34,11,33,9,14,5,6,18,23,59,10,26,16,22,8,23,8,10,4,1,26
861,2016,136,1314,83,1195,67,N,0,31,73,7,21,14,19,18,23,13,7,8,10,19,25,58,2,11,15,24,15,28,10,14,6,5,19
862,2016,136,1344,70,1425,69,N,0,25,62,9,24,11,14,8,23,17,6,5,3,15,28,52,6,13,7,13,5,30,13,12,6,2,14
863,2016,136,1428,80,1201,69,N,0,27,50,7,18,19,22,15,23,16,20,11,1,11,26,53,7,18,10,12,5,10,8,14,15,3,23
864,2016,136,1438,81,1214,45,N,0,32,58,12,25,5,8,6,31,20,5,4,7,14,17,56,3,19,8,10,9,22,4,7,1,0,11
865,2016,136,1455,65,1112,55,N,0,24,59,3,20,14,19,9,21,9,6,9,5,21,20,48,6,18,9,15,10,29,7,19,2,3,23
866,2016,136,1463,79,1124,75,N,0,26,49,5,16,22,29,8,28,14,12,3,4,17,30,68,6,16,9,15,14,18,16,7,9,2,24
867,2016,137,1218,77,1143,66,N,0,27,52,3,14,20,25,2,27,8,11,3,3,25,23,56,3,19,17,26,12,26,6,16,3,1,24
