,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
139920,2016,11,1104,77,1244,64,H,0
139921,2016,11,1105,68,1408,67,A,1
139922,2016,11,1112,79,1334,61,H,0
139923,2016,11,1115,58,1370,56,A,0
139924,2016,11,1116,86,1380,68,H,0
139925,2016,11,1120,75,1412,74,H,0
139926,2016,11,1124,97,1372,55,H,0
139927,2016,11,1125,83,1266,80,A,0
139928,2016,11,1133,54,1123,53,H,0
139929,2016,11,1140,85,1430,54,H,0
139930,2016,11,1141,89,1240,83,H,0
139931,2016,11,1143,97,1349,65,H,0
139932,2016,11,1151,92,1208,90,A,1
139933,2016,11,1153,97,1441,72,H,0
139934,2016,11,1155,74,1300,40,H,0
139935,2016,11,1158,74,1354,54,H,0
139936,2016,11,1159,66,1206,53,A,0
139937,2016,11,1163,100,1263,56,H,0
139938,2016,11,1170,66,1113,63,A,0
139939,2016,11,1173,84,1369,53,H,0
139940,2016,11,1174,62,1175,56,A,0
139941,2016,11,1181,92,1373,74,H,0
139942,2016,11,1184,107,1164,80,H,0
139943,2016,11,1185,70,1436,50,H,0
139944,2016,11,1187,61,1212,53,H,0
139945,2016,11,1188,79,1117,70,H,0
139946,2016,11,1189,85,1150,74,A,0
139947,2016,11,1196,59,1298,41,A,0
139948,2016,11,1201,69,1337,66,H,0
139949,2016,11,1202,63,1342,53,H,0
139950,2016,11,1203,85,1248,76,H,0
139951,2016,11,1210,116,1165,81,H,0
139952,2016,11,1213,82,1340,72,H,0
139953,2016,11,1216,92,1148,83,A,2
139954,2016,11,1218,87,1286,76,H,0
139955,2016,11,1220,96,1145,85,H,0
139956,2016,11,1221,67,1265,64,A,0
139957,2016,11,1231,88,1183,49,H,0
139958,2016,11,1234,76,1205,59,H,0
139959,2016,11,1235,68,1160,62,N,0
139960,2016,11,1237,72,1232,70,A,0
139961,2016,11,1241,87,1350,75,A,0
139962,2016,11,1242,109,1294,72,H,0
139963,2016,11,1243,80,1271,53,H,0
139964,2016,11,1246,78,1107,65,H,0
139965,2016,11,1252,65,1365,63,A,2
139966,2016,11,1257,86,1359,45,H,0
139967,2016,11,1258,79,1168,74,H,0
139968,2016,11,1260,76,1427,64,H,0
139969,2016,11,1261,81,1270,70,H,0
139970,2016,11,1268,80,1291,56,H,0
139971,2016,11,1274,86,1410,59,H,0
139972,2016,11,1277,82,1194,55,H,0
139973,2016,11,1278,76,1282,58,H,0
139974,2016,11,1279,90,1322,76,H,0
139975,2016,11,1280,106,1186,88,H,0
139976,2016,11,1281,83,1459,74,H,0
139977,2016,11,1284,84,1417,81,A,1
139978,2016,11,1285,74,1129,72,H,0
139979,2016,11,1295,79,1413,71,A,1
139980,2016,11,1296,83,1169,71,H,0
139981,2016,11,1305,73,1157,56,N,0
139982,2016,11,1307,86,1411,57,H,0
139983,2016,11,1308,91,1223,69,H,0
139984,2016,11,1314,91,1396,67,N,0
139985,2016,11,1316,93,1228,81,N,0
139986,2016,11,1318,87,1131,84,A,1
139987,2016,11,1321,79,1262,57,H,0
139988,2016,11,1323,87,1384,56,H,0
139989,2016,11,1329,91,1404,57,H,0
139990,2016,11,1330,67,1310,50,H,0
139991,2016,11,1331,80,1283,65,H,0
139992,2016,11,1332,80,1238,52,H,0
139993,2016,11,1335,76,1352,75,H,0
139994,2016,11,1343,64,1351,56,A,0
139995,2016,11,1345,81,1299,40,H,0
139996,2016,11,1348,65,1110,42,H,0
139997,2016,11,1356,77,1102,75,H,0
139998,2016,11,1357,76,1346,64,N,0
139999,2016,11,1361,71,1229,60,H,0
140000,2016,11,1362,78,1227,75,A,0
140001,2016,11,1364,60,1303,59,A,0
140002,2016,11,1371,84,1171,67,H,0
140003,2016,11,1382,63,1127,53,H,0
140004,2016,11,1385,66,1447,57,H,0
140005,2016,11,1386,82,1180,81,H,0
140006,2016,11,1389,77,1135,65,H,0
140007,2016,11,1390,93,1453,89,H,1
140008,2016,11,1393,57,1250,47,H,0
140009,2016,11,1395,90,1368,77,H,0
140010,2016,11,1397,82,1421,78,H,0
140011,2016,11,1398,86,1259,71,A,0
140012,2016,11,1401,104,1367,64,H,0
140013,2016,11,1403,77,1219,73,H,0
140014,2016,11,1407,82,1378,77,A,0
140015,2016,11,1424,74,1142,72,H,0
140016,2016,11,1425,83,1360,45,H,0
140017,2016,11,1428,82,1381,71,H,0
140018,2016,11,1429,73,1451,70,A,0
140019,2016,11,1433,75,1341,50,H,0
140020,2016,11,1434,78,1236,64,H,0
140021,2016,11,1435,80,1122,41,H,0
140022,2016,11,1437,91,1192,54,H,0
140023,2016,11,1438,86,1288,48,H,0
140024,2016,11,1442,69,1458,67,A,0
140025,2016,11,1448,78,1420,73,H,0
140026,2016,11,1449,77,1400,71,N,0
140027,2016,11,1450,82,1319,70,H,0
140028,2016,11,1452,107,1297,61,H,0
140029,2016,11,1454,71,1176,58,N,0
140030,2016,11,1455,88,1149,63,H,0
140031,2016,11,1456,85,1301,68,A,0
140032,2016,11,1460,77,1377,69,N,0
140033,2016,11,1462,81,1275,72,H,0
