,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
65872,2016,11,1104,77,1244,64,H,0,29,57,4,17,15,27,10,28,13,12,11,6,21,19,55,7,19,19,26,12,27,6,16,7,4,25
65873,2016,11,1105,68,1408,67,A,1,25,64,8,29,10,17,14,23,10,15,12,1,25,22,57,7,27,16,26,18,30,11,19,6,7,21
65874,2016,11,1112,79,1334,61,H,0,24,61,6,20,25,32,17,34,12,14,4,6,21,21,57,6,19,13,19,5,23,9,9,3,1,25
65875,2016,11,1115,58,1370,56,A,0,20,55,7,30,11,16,8,29,12,12,8,6,23,17,49,6,16,16,28,10,31,12,15,5,0,17
65876,2016,11,1116,86,1380,68,H,0,32,66,8,15,14,26,17,26,21,14,10,6,24,22,53,4,12,20,28,7,21,9,17,8,5,22
65877,2016,11,1120,75,1412,74,H,0,22,51,7,19,24,31,8,28,10,14,7,8,19,31,70,4,13,8,11,14,25,19,13,8,6,20
65878,2016,11,1124,97,1372,55,H,0,36,56,9,16,16,23,6,31,31,8,6,1,24,17,52,5,23,16,28,8,19,16,13,3,3,24
65879,2016,11,1125,83,1266,80,A,0,30,66,12,34,11,17,11,24,23,12,2,1,22,28,65,6,26,18,27,15,29,19,11,7,4,20
65880,2016,11,1133,54,1123,53,H,0,15,47,5,20,19,32,12,31,10,13,3,5,23,20,55,3,11,10,20,11,29,7,13,7,4,27
65881,2016,11,1140,85,1430,54,H,0,30,74,7,25,18,27,20,48,18,18,3,4,18,19,72,5,29,11,17,8,30,6,15,8,4,21
65882,2016,11,1141,89,1240,83,H,0,25,48,8,19,31,41,10,24,8,13,4,3,15,32,71,6,19,13,16,16,18,10,8,7,1,26
65883,2016,11,1143,97,1349,65,H,0,36,71,10,23,15,18,14,34,17,7,4,7,21,22,60,6,17,15,22,7,23,8,9,3,1,17
65884,2016,11,1151,92,1208,90,A,1,30,69,12,30,20,31,15,22,11,16,9,2,33,26,48,10,20,28,45,8,28,12,21,11,11,30
65885,2016,11,1153,97,1441,72,H,0,36,59,6,14,19,27,11,32,19,17,8,7,15,26,70,9,32,11,14,13,14,13,11,8,4,20
65886,2016,11,1155,74,1300,40,H,0,23,52,8,23,20,23,9,33,16,6,3,9,17,17,56,2,16,4,12,13,22,7,10,2,0,20
65887,2016,11,1158,74,1354,54,H,0,21,50,8,23,24,35,12,32,13,13,6,3,20,18,56,3,18,15,20,9,23,5,11,3,3,24
65888,2016,11,1159,66,1206,53,A,0,22,44,5,14,17,26,5,32,13,14,1,2,30,16,49,3,18,18,35,12,24,5,14,3,0,27
